STD_YM|GU_CD|DONG_CD|MCT_CAT_CD|DAY_CD|USE_CNT|USE_AMT
201601|65|103|06|06|72|3050200
201601|65|103|06|07|54|2868310
201601|65|103|08|01|3175|149198677
201601|65|103|08|02|3465|189622189
201601|65|103|08|03|3080|179488562
201601|65|103|08|04|3232|159658443
201601|65|103|08|05|3414|181621591
201601|65|103|08|06|3734|187329009
201601|65|103|08|07|4019|197084481
201601|65|103|11|02|1765|11093387
201601|65|103|11|03|1888|12264923
201601|65|103|11|04|2211|13922051
201601|65|103|11|05|2002|14255677
201601|65|103|11|06|2166|16843452
201601|65|103|11|07|75|1198697
201601|65|103|12|02|4|133659
201601|65|103|12|04|4|169302
201601|65|103|12|05|4|178212
201601|65|103|12|07|23|6528629
201601|65|103|13|01|8391|116965632
201601|65|103|13|02|7243|111037571
201601|65|103|13|03|6806|104641513
201601|65|103|13|04|7463|109186604
201601|65|103|13|05|6784|101029497
201601|65|103|13|06|9086|138779988
201601|65|103|13|07|9632|152519429
201601|65|103|15|01|10106|57297236
201601|65|103|15|02|8796|49141769
201601|65|103|15|03|9298|48658387
201601|65|103|15|04|9199|49974878
201601|65|103|15|05|9315|51324582
201601|65|103|15|06|11798|66277990
201601|65|103|15|07|10309|59116577
201601|65|103|16|01|8|1024722
201601|65|103|16|02|31|891276
201601|65|103|16|04|12|673008
201601|65|103|16|05|33|1967746
201601|65|103|16|06|34|2132461
201601|65|103|16|07|47|2470600
201601|65|103|18|01|15|1155890
201601|65|103|18|02|15|760804
201601|65|103|18|03|4|1693018
201601|65|103|18|04|40|3566929
201601|65|103|18|05|18|851814
201601|65|103|18|06|24|1822946
201601|65|103|18|07|43|2115678
201601|65|103|20|01|23|528683
201601|65|103|20|02|131|4222897
201601|65|103|20|03|126|5265921
201601|65|103|20|04|115|3535014
201601|65|103|20|05|108|4935522
201601|65|103|20|06|68|2537404
201601|65|103|20|07|128|2467366
201601|65|103|21|01|32|289502
201601|65|103|21|02|216|110079246
201601|65|103|21|03|239|332147598
201601|65|103|21|04|364|406440273
201601|65|103|21|05|196|113408113
201601|65|103|21|06|354|584081074
201601|65|103|21|07|78|852484
201601|65|103|22|01|10|116267
201601|65|103|22|02|266|67683156
201601|65|103|22|03|169|47547427
201601|65|103|22|04|146|31427933
201601|65|103|22|05|134|29589926
201601|65|103|22|06|100|21490394
201601|65|103|22|07|26|7802949
201601|65|103|23|03|9|267280
201601|65|103|23|05|14|221493
201601|65|103|23|07|6|606259
201601|65|103|24|01|86|1086437
201601|65|103|24|02|525|37577913
201601|65|103|24|03|402|33669616
201601|65|103|24|04|359|21935050
201601|65|103|24|05|489|20007094
201601|65|103|24|06|455|18204035
201601|65|103|24|07|419|18341191
201601|65|103|26|01|91|2123898
201601|65|103|26|02|2004|42525219
201601|65|103|26|03|1112|22821857
201601|65|103|26|04|1422|37625100
201601|65|103|26|05|1220|29954998
201601|65|103|26|06|1287|25774643
201601|65|103|26|07|1450|23669792
201601|65|103|27|01|324|3804157
201601|65|103|27|02|2556|21808251
201601|65|103|27|03|1683|17818301
201601|65|103|27|04|1918|17136755
201601|65|103|27|05|1636|18436739
201601|65|103|27|06|1886|19905460
201601|65|103|27|07|1974|16287305
201601|65|103|28|01|795|19569125
201601|65|103|28|02|253|7297070
201601|65|103|28|03|231|5912576
201601|65|103|28|04|337|10383137
201601|65|103|28|05|330|9747463
201601|65|103|28|06|370|12712772
201601|65|103|28|07|797|27464904
201601|65|103|29|02|8|227220
201601|65|103|29|03|15|427854
201601|65|103|29|04|18|783307
201601|65|103|29|05|12|208509
201601|65|103|29|06|26|1261086
201601|65|103|29|07|15|213230
201601|65|103|30|01|5962|90026337
201601|65|103|30|02|8974|151334263
201601|65|103|30|03|9636|149195251
201601|65|103|30|04|9632|146452428
201601|65|103|30|05|9612|177811057
201601|65|103|30|06|10580|217285419
201601|65|103|30|07|6542|113511614
201601|65|103|32|01|2609|23052816
201601|65|103|32|02|2440|20048886
201601|65|103|32|03|2281|17933996
201601|65|103|32|04|2421|19545367
201601|65|103|32|05|2255|19494016
201601|65|103|32|06|2673|25356093
201601|65|103|32|07|2981|26997204
201601|65|103|33|01|897|15828843
201601|65|103|33|02|786|17738039
201601|65|103|33|03|773|15057256
201601|65|103|33|04|867|18276696
201601|65|103|33|05|823|16636968
201601|65|103|33|06|1097|28957063
201601|65|103|33|07|1118|23538016
201601|65|103|35|01|647|11922456
201601|65|103|35|02|593|5115074
201601|65|103|35|03|490|4723019
201601|65|103|35|04|701|15388441
201601|65|103|35|05|618|8146085
201601|65|103|35|06|710|7564681
201601|65|103|35|07|1561|24729545
201601|65|103|36|01|4|445531
201601|65|103|36|02|153|2401264
201601|65|103|36|03|166|2635274
201601|65|103|36|04|74|1188915
201601|65|103|36|05|111|2124006
201601|65|103|36|06|123|1666036
201601|65|103|36|07|60|973708
201601|65|104|04|01|775|94780716
201601|65|104|04|02|110|16038255
201601|65|104|04|03|141|28316665
201601|65|104|04|04|192|36271818
201601|65|104|04|05|175|251948955
201601|65|104|04|06|375|64830222
201601|65|104|04|07|696|78556631
201601|65|104|08|01|10298|485843759
201601|65|104|08|02|9961|495392829
